id,status,confidence
FR-LIFE-002,satisfied,0.9
FR-LIFE-004,satisfied,0.9
FR-LIFE-005,satisfied,0.8
FR-LIFE-006,satisfied,0.85
FR-LIFE-007,satisfied,0.95
FR-LIFE-008,satisfied,0.8
FR-GRID-001,satisfied,0.98
FR-GRID-002,satisfied,0.95
FR-PIECE-001,satisfied,0.97
FR-PIECE-002,satisfied,0.97
FR-PIECE-003,satisfied,0.9
FR-PIECE-004,satisfied,0.95
FR-CFG-001,satisfied,0.9
FR-CFG-002,satisfied,0.95
FR-CFG-003,satisfied,0.95
FR-SPAWN-001,satisfied,0.9
FR-SPAWN-002,satisfied,0.85
FR-SPAWN-003,satisfied,0.85
FR-MOVE-001,satisfied,0.95
FR-MOVE-002,satisfied,0.95
FR-MOVE-003,satisfied,0.9
FR-MOVE-004,satisfied,0.7
FR-MOVE-005,satisfied,0.95
FR-ROT-001,satisfied,0.85
FR-ROT-002,partial,0.6
FR-ROT-003,satisfied,0.9
FR-COL-001,satisfied,0.85
FR-LOCK-001,satisfied,0.85
FR-LOCK-002,partial,0.55
FR-GHOST-001,satisfied,0.9
FR-CLEAR-001,satisfied,0.9
FR-CLEAR-002,satisfied,0.9
FR-CLEAR-003,satisfied,0.9
FR-CLEAR-004,satisfied,0.9
FR-CLEAR-005,satisfied,0.85
FR-CLEAR-006,satisfied,0.95
FR-SCORE-001,satisfied,0.85
FR-SCORE-002,satisfied,0.8
FR-SCORE-003,satisfied,0.9
FR-SCORE-004,satisfied,0.85
FR-SCORE-005,satisfied,0.9
FR-LEVEL-001,satisfied,0.9
FR-LEVEL-002,satisfied,0.9
FR-OVER-001,satisfied,0.9
FR-OVER-002,satisfied,0.85
FR-OVER-003,satisfied,0.9
FR-OVER-004,satisfied,0.85
FR-ARCH-001,satisfied,0.9
FR-ARCH-002,satisfied,0.9
FR-CTRL-001,satisfied,0.85
FR-CTRL-003,partial,0.55
FR-CTRL-005,partial,0.6
UI-HUD-001,satisfied,0.85
UI-LAYOUT-001,partial,0.6
NFR-A11Y-004,not-satisfied,0.75
NFR-COMPAT-003,satisfied,0.85
NFR-COMPAT-004,satisfied,0.8
FR-ERR-001,satisfied,0.7
FR-ERR-002,satisfied,0.65
FR-ERR-003,satisfied,0.75
FR-ERR-005,satisfied,0.85
FR-ERR-006,satisfied,0.8
FR-ERR-008,not-satisfied,0.6
