"Браузер","Версия браузера","Полная версия браузера","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","200","179","0.96","1.07","00:00:07"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.12","83","76","0.9879518072289156","1.0120481927710843","00:00:00"
"Google Chrome","Google Chrome 144","Google Chrome 144.0","32","31","0.96875","1.03125","00:00:00"
"Edge","Edge 144","Edge 144.0","22","19","0.9090909090909091","1.1818181818181819","00:00:01"
"Яндекс.Браузер","Яндекс.Браузер 24","Яндекс.Браузер 24.10","13","11","0.923076923076923","1.0769230769230769","00:00:05"
"Opera","Opera 126","Opera 126.0","6","6","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 109","Google Chrome 109.0","6","6","1.0","1.0","00:00:00"
"Firefox","Firefox 147","Firefox 147.0","4","3","1.0","1.0","00:00:00"
"Safari","Safari 26","Safari 26.2","4","2","1.0","1.0","00:00:00"
"Edge","Edge 145","Edge 145.0","4","4","1.0","1.0","00:00:00"
"Opera","Opera 127","Opera 127.0","2","2","1.0","1.0","00:00:00"
"Firefox","Firefox 139","Firefox 139.0","2","1","1.0","1.0","00:00:00"
"Safari","Safari 17","Safari 17.6","2","1","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 139","Google Chrome 139.0","2","1","0.5","1.5","00:01:50"
"Google Chrome","Google Chrome 142","Google Chrome 142.0","2","2","0.5","1.5","00:09:23"
"Google Chrome","Google Chrome 145","Google Chrome 145.0","2","1","1.0","1.0","00:00:00"
"Firefox","Firefox 146","Firefox 146.0","1","1","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 133","Google Chrome 133.0","1","1","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 138","Google Chrome 138.0","1","1","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 141","Google Chrome 141.0","1","1","1.0","1.0","00:00:00"
"Google Chrome","Google Chrome 143","Google Chrome 143.0","1","1","1.0","1.0","00:00:00"
"Яндекс.Браузер","Яндекс.Браузер 23","Яндекс.Браузер 23.3","1","1","1.0","1.0","00:00:00"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.3","1","1","0.0","6.0","00:01:37"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.8","1","1","1.0","1.0","00:00:00"
"Edge","Edge 92","Edge 92.0","1","1","1.0","1.0","00:00:00"
"Edge","Edge 109","Edge 109.0","1","1","1.0","1.0","00:00:00"
"Edge","Edge 132","Edge 132.0","1","1","1.0","1.0","00:00:00"
"Edge","Edge 140","Edge 140.0","1","1","1.0","1.0","00:00:00"
"Samsung Internet","Samsung Internet 26","Samsung Internet 26.0","1","1","1.0","1.0","00:00:00"
"YandexBrowserCorp","YandexBrowserCorp 24","YandexBrowserCorp 24.10","1","1","1.0","1.0","00:00:00"
