"DateTime","p25","p50","p75","p95","Запросы"
"2026-01-21",5.504,5.504,5.504,5.504,4
"2026-01-22",4.032,4.263,4.35075,4.38,7
"2026-01-23",4.417,4.5755,4.734,4.734,15
"2026-01-24",3.157,3.468,3.666,3.731,20
"2026-01-29",4.209,4.209,4.209,4.209,6
"2026-01-30",3.352,3.352,3.352,3.352,21
"2026-01-31",13.18625,20.6,38.82575,44.901,8
"2026-02-01",9.241,14.7395,20.238,20.238,4
"2026-02-02",9.148,9.148,9.148,9.148,4
"2026-02-03",6.09,8.102,22.16775,23.055,13
"2026-02-04",11.0905,18.649,24.77175,32.297,21
"2026-02-05",15.279,17.959,19.62825,24.093,12
"2026-02-06",17.7745,20.958,21.4215,21.528,18
"2026-02-07",13.81275,21.637,31.66525,227.30084999999963,24
"2026-02-08",13.0145,18.251,52.726,197.5978999999995,37
"2026-02-09",12.35875,22.265,31.78975,90.62064999999997,40
"2026-02-10",11.898,20.1725,28.192,62.68549999999999,39
"2026-02-11",17.512,35.8005,70.697,318.7338,38
"2026-02-12",14.22025,21.989,39.879,81.38289999999998,28
"2026-02-13",12.54625,15.486,25.60825,46.18844999999999,39
"2026-02-14",14.987,78.597,233.7775,1261.119,9
"2026-02-15",11.77425,14.086,15.90875,33.43044999999998,17
"2026-02-16",9.66525,15.073,20.30325,23.502,5
"2026-02-17",11.9595,13.952,18.63,21.967,8
"2026-02-18",10.524,12.7095,14.895,14.895,2
"2026-02-19",15.225,18.9765,24.9075,312.686,11
"2026-02-20",17.2425,27.375,82.2135,100.493,3
"2026-02-21",60.572,60.572,60.572,60.572,1
"2026-02-22",12.8505,19.12,28.505,32.965,4
