"Адрес страницы","Просмотры","Время до отрисовки","Время до загрузки DOM","DNS","Редиректы","Продолжительность установки соединения","Ответ сервера","Время загрузки и парсинга HTML","Процент отправки DNS-запросов","Процент редиректов"
"Итого и средние","214","00.436","01.028","","00.303","00.049","00.320","00.091","0.0","0.0047169811320754715"
"https://yandex.ru/games/app/orbital-chaos-490689","180","00.428","01.021","","00.303","00.049","00.308","00.090","0.0","0.005555555555555556"
"https://yandex.ru/games/app/orbital-chaos-490689?pwa=1","9","00.360","00.810","","","","00.267","00.088","0.0","0.0"
"https://yandex.uz/games/app/orbital-chaos-490689","6","00.488","01.198","","","","00.408","00.062","0.0","0.0"
"https://yandex.by/games/app/orbital-chaos-490689","4","00.352","00.792","","","","00.287","00.092","0.0","0.0"
"https://yandex.com/games/app/orbital-chaos-490689","4","00.732","01.686","","","","00.593","00.463","0.0","0.0"
"https://yandex.com.tr/games/app/orbital-chaos-490689","2","00.848","01.529","","","","00.605","00.296","0.0","0.0"
"https://yandex.kz/games/app/orbital-chaos-490689","2","01.168","09.017","","","","00.678","00.231","0.0","0.0"
"https://yandex.ru/games/app/orbital-chaos-490689?ypr=https:%2F%2Fdzen.ru","2","00.535","01.417","","","","00.411","00.176","0.0","0.0"
"https://allwebgames.com/ru/g/orbital-chaos-490689","1","01.079","03.437","","","","00.701","00.257","0.0","0.0"
"https://yandex.ru/games/app/orbital-chaos-490689?flags={%22dark_theme%22:true}","1","01.333","01.953","","","","00.370","00.957","0.0","0.0"
"https://yandex.ru/games/app/orbital-chaos-490689?ypr=https:%2F%2Fdzen.ru&pwa=1","1","00.760","01.706","","","","00.581","00.148","0.0","0.0"
"https://yandex.ru/games/app/orbital-chaos-490689?ypr=https:%2F%2Frg.ru","1","00.452","01.149","","","","00.445","00.039","0.0","0.0"
"https://yandex.uz/games/app/orbital-chaos-490689?pwa=1","1","00.296","00.867","","","","00.216","00.097","0.0","0.0"
