"Логическая ширина","Логическая высота","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","200","179","0.96","1.07","00:00:07"
"1920","1080","85","79","0.9647058823529412","1.0588235294117647","00:00:00"
"1366","768","24","22","0.9583333333333335","1.0416666666666667","00:00:03"
"1536","864","21","20","0.9523809523809522","1.0476190476190477","00:00:01"
"1600","900","12","12","1.0","1.0","00:00:00"
"1280","720","11","7","1.0","1.0","00:00:00"
"1280","1024","8","7","1.0","1.0","00:00:00"
"1440","900","6","4","1.0","1.0","00:00:00"
"2560","1440","6","5","0.8333333333333335","1.1666666666666667","00:03:07"
"820","1180","4","2","1.0","1.0","00:00:00"
"1536","960","4","4","1.0","1.0","00:00:00"
"1680","1050","4","3","1.0","1.0","00:00:00"
"1143","686","2","1","0.5","1.5","00:01:50"
"1280","800","2","2","1.0","1.0","00:00:00"
"1024","576","1","1","1.0","1.0","00:00:00"
"1138","545","1","1","1.0","1.0","00:00:00"
"1173","733","1","1","1.0","1.0","00:00:00"
"1280","768","1","1","1.0","1.0","00:00:00"
"1334","834","1","1","1.0","1.0","00:00:00"
"1360","768","1","1","1.0","1.0","00:00:00"
"1600","1600","1","1","1.0","1.0","00:00:00"
"1642","924","1","1","1.0","1.0","00:00:00"
"1920","1040","1","1","0.0","6.0","00:01:37"
"1920","1200","1","1","1.0","1.0","00:00:00"
"2048","1152","1","1","1.0","1.0","00:00:00"
