"DateTime","Rewarded","Sticky","Interstitial"
"2026-01-24",,,0
"2026-01-26",,,0
"2026-01-27",,,0
"2026-01-28",,,0
"2026-01-29",,,0
"2026-01-30",,,0
"2026-01-31",,,0
"2026-02-01",,,0
"2026-02-02",,,0
"2026-02-03",,,0
"2026-02-04",,,0
"2026-02-05",,,0
"2026-02-06",,,0
"2026-02-07",,0.216692,0.246396
"2026-02-08",,0.263896,0.099888
"2026-02-09",,0.26472,0.139587
"2026-02-10",,0.948037,0.376482
"2026-02-11",,0.347521,0.162793
"2026-02-12",,0.113993,0.262417
"2026-02-13",,0.619853,0.631391
"2026-02-14",,0.020522,0.174938
"2026-02-15",,0.185384,0.194067
"2026-02-16",,0.00336,0.012866
"2026-02-17",,0.052668,0.175263
"2026-02-18",,0.124386,0.109525
"2026-02-19",,0.00578,0.091541
"2026-02-20",,0.00243,0.00216
"2026-02-21",,0,0
"2026-02-22",,0.263137,0.092008
"2026-02-23",,0.00905,0
"2026-02-24",,0.007178,0
