"DateTime","Rewarded","Sticky","Interstitial"
"2026-01-24",,,0
"2026-01-26",,,0
"2026-01-27",,,0
"2026-01-28",,,0
"2026-01-29",,,0
"2026-01-30",,,0
"2026-01-31",,,0
"2026-02-01",,,0
"2026-02-02",,,0
"2026-02-03",,,0
"2026-02-04",,,0
"2026-02-05",,,0
"2026-02-06",,,0
"2026-02-07",,13,8
"2026-02-08",,29,15
"2026-02-09",,29,14
"2026-02-10",,27,10
"2026-02-11",,31,12
"2026-02-12",,16,8
"2026-02-13",,55,21
"2026-02-14",,8,4
"2026-02-15",,22,8
"2026-02-16",,1,3
"2026-02-17",,5,6
"2026-02-18",,3,1
"2026-02-19",,3,3
"2026-02-20",,1,1
"2026-02-21",,0,0
"2026-02-22",,6,2
"2026-02-23",,4,0
"2026-02-24",,1,0
