"DateTime","p25","p50","p75","p95","Запросы"
"2026-01-21",7.6285,9.271,9.4405,9.497,13
"2026-01-22",4.598,5.267,6.47075,6.872,7
"2026-01-23",11.138,11.969,12.8,12.8,14
"2026-01-24",0.671,1.798,2.9745,3.09,13
"2026-01-29",6.117,6.117,6.117,6.117,6
"2026-01-30",12.443,12.443,12.443,12.443,21
"2026-01-31",3.28775,10.721,10.781,10.801,7
"2026-02-01",1.233,1.24,1.247,1.247,4
"2026-02-02",14.104,14.104,14.104,14.104,4
"2026-02-03",0.93225,1.115,8.66725,19.786,10
"2026-02-04",3.009,8.222,12.67175,19.823,21
"2026-02-05",0.9465,1.28,1.364,1.403,12
"2026-02-06",1.8635,3.428,15.662,27.64,18
"2026-02-07",1.1415,5.005,9.30375,27.260899999999943,24
"2026-02-08",1.602,3.4705,9.478,31.822199999999988,47
"2026-02-09",2.722,6.0205,13.485,46.24619999999991,53
"2026-02-10",2.323,6.425,14.827,31.194599999999983,46
"2026-02-11",2.71025,9.336,18.00275,49.512449999999944,46
"2026-02-12",1.537,6.743,14.0785,36.83795,32
"2026-02-13",0.888,2.051,5.43575,20.03705000000001,46
"2026-02-14",1.0885,2.647,16.45,22.8955,14
"2026-02-15",1.031,1.7555,3.5145,11.674,22
"2026-02-16",0.84975,0.985,4.2745,4.642,5
"2026-02-17",2.351,4.742,6.831,9.336,9
"2026-02-18",1.7455,5.137,6.28225,6.664,3
"2026-02-19",2.7025,5.1445,14.464,23.214,11
"2026-02-20",8.18725,9.665,13.84825,15.688,5
"2026-02-21",13.739,13.739,13.739,13.739,1
"2026-02-22",1.21025,2.376,14.0415,44.835,7
