"Интервал дат визита","Визиты","Посетители","Просмотры","Доля новых посетителей","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","200","179","214","1.0","0.96","1.07","00:00:07"
"2026-02-13","34","31","37","0.9354838709677419","0.9117647058823529","1.088235294117647","00:00:02"
"2026-02-08","23","21","24","1.0","0.9565217391304348","1.0434782608695652","00:00:01"
"2026-02-09","22","21","22","0.9523809523809522","1.0","1.0","00:00:00"
"2026-02-11","21","21","26","1.0","0.9523809523809522","1.2380952380952381","00:00:04"
"2026-02-15","21","19","24","0.8947368421052632","0.9523809523809522","1.1428571428571428","00:00:00"
"2026-02-10","17","17","17","1.0","1.0","1.0","00:00:00"
"2026-02-12","15","15","15","0.9333333333333332","1.0","1.0","00:00:00"
"2026-02-07","14","14","14","1.0","1.0","1.0","00:00:00"
"2026-02-14","9","7","10","0.7142857142857143","0.8888888888888888","1.1111111111111112","00:00:24"
"2026-02-16","5","5","5","0.8","1.0","1.0","00:00:00"
"2026-02-17","5","5","5","1.0","1.0","1.0","00:00:00"
"2026-02-19","4","4","5","0.75","0.75","1.25","00:04:41"
"2026-02-18","2","2","2","1.0","1.0","1.0","00:00:00"
"2026-02-20","2","2","2","1.0","1.0","1.0","00:00:00"
"2026-02-22","2","2","2","1.0","1.0","1.0","00:00:00"
"2026-02-23","2","2","2","1.0","1.0","1.0","00:00:00"
"2026-02-21","1","1","1","0.0","1.0","1.0","00:00:00"
"2026-02-24","1","1","1","1.0","1.0","1.0","00:00:00"
