"Час визита","Визиты","Посетители","Просмотры","Отказы","Глубина просмотра","Время на сайте","Визитов в день"
"Итого и средние","200","179","214","0.96","1.07","00:00:07","2.1739130434782608"
"14:00","20","20","23","0.95","1.15","00:00:00","0.21739130434782608"
"10:00","19","19","20","0.9473684210526315","1.0526315789473684","00:00:01","0.20652173913043478"
"19:00","19","19","20","0.9473684210526315","1.0526315789473684","00:00:03","0.20652173913043478"
"17:00","17","17","17","1.0","1.0","00:00:00","0.18478260869565216"
"20:00","15","14","15","1.0","1.0","00:00:00","0.16304347826086957"
"11:00","14","14","15","0.9285714285714286","1.0714285714285714","00:01:20","0.15217391304347827"
"13:00","11","11","12","0.9090909090909091","1.0909090909090908","00:00:00","0.11956521739130435"
"15:00","11","11","11","1.0","1.0","00:00:00","0.11956521739130435"
"16:00","10","10","10","1.0","1.0","00:00:00","0.10869565217391304"
"18:00","10","10","15","0.9","1.5","00:00:09","0.10869565217391304"
"21:00","10","10","10","1.0","1.0","00:00:00","0.10869565217391304"
"09:00","9","9","10","0.8888888888888888","1.1111111111111112","00:00:02","0.09782608695652174"
"12:00","8","8","8","1.0","1.0","00:00:00","0.08695652173913043"
"08:00","7","7","7","1.0","1.0","00:00:00","0.07608695652173914"
"22:00","7","7","7","1.0","1.0","00:00:00","0.07608695652173914"
"00:00","4","4","4","1.0","1.0","00:00:00","0.043478260869565216"
"02:00","2","2","2","1.0","1.0","00:00:00","0.021739130434782608"
"05:00","2","2","2","1.0","1.0","00:00:00","0.021739130434782608"
"01:00","1","1","1","1.0","1.0","00:00:00","0.010869565217391304"
"04:00","1","1","1","1.0","1.0","00:00:00","0.010869565217391304"
"06:00","1","1","1","1.0","1.0","00:00:00","0.010869565217391304"
"07:00","1","1","1","1.0","1.0","00:00:00","0.010869565217391304"
"23:00","1","1","2","0.0","2.0","00:03:41","0.010869565217391304"
